client_time,user_id,balance_id,traffic_type,payer_type,failed,attempt,platform_name,first_attempt,FW,CW,CF,FF,reason_seg,partition_date,level_cohort,super_ball
2026-01-01 00:00:00,user-000-000-0,1,organic,nonpayer,1,1,android,1,0,0,0,1,far_fail,2026-01-01,0,True
2025-12-31 19:09:01,user-000-000-1,2,incent,nonpayer,0,4,android,0,0,1,0,0,close_win,2026-01-01,0,False
2025-12-15 17:51:59,user-000-001-0,11,crosspromo,payer,1,2,uwp,0,0,0,1,0,close_fail,2026-01-01,1,True
2025-12-14 12:00:00,user-000-001-1,12,organic,nonpayer,0,5,uwp,0,1,0,0,0,far_win,2026-01-01,1,False
2025-12-19 10:42:58,user-000-002-0,21,NULL,nonpayer,0,3,ios,0,1,0,0,0,far_win,2026-01-01,2,True
2025-12-18 05:51:59,user-000-002-1,22,crosspromo,payer,0,6,uwp,0,1,0,0,0,far_win,2026-01-01,2,False
2025-12-23 03:33:57,user-000-003-0,31,paid,nonpayer,0,4,ios,0,1,0,0,0,far_win,2026-01-01,3,True
2025-12-22 22:42:58,user-000-003-1,32,NULL,nonpayer,0,7,ios,0,0,1,0,0,close_win,2026-01-01,3,False
2025-12-27 20:24:56,user-000-004-0,41,incent,payer,0,5,android,0,0,1,0,0,close_win,2026-01-01,4,True
2025-12-26 15:33:57,user-000-004-1,42,paid,nonpayer,1,8,android,0,0,0,0,1,far_fail,2026-01-01,4,False
2025-12-31 13:15:55,user-000-005-0,51,organic,payer,0,6,android,0,0,0,0,0,unknown,2026-01-01,5,True
2025-12-30 08:24:56,user-000-005-1,52,incent,payer,0,1,android,1,0,0,0,0,unknown,2026-01-01,5,False
2025-12-14 06:06:54,user-000-006-0,61,crosspromo,nonpayer,1,7,uwp,0,0,0,0,1,far_fail,2026-01-01,6,True
2025-12-13 01:15:55,user-000-006-1,62,organic,payer,0,2,uwp,0,1,0,0,0,far_win,2026-01-01,6,False
2025-12-18 23:57:53,user-000-007-0,71,NULL,payer,0,8,uwp,0,1,0,0,0,far_win,2026-01-01,7,True
2025-12-17 18:06:54,user-000-007-1,72,crosspromo,nonpayer,0,3,uwp,0,0,1,0,0,close_win,2026-01-01,7,False
2025-12-22 16:48:52,user-000-008-0,81,paid,payer,0,1,ios,1,0,1,0,0,close_win,2026-01-01,8,True
2025-12-21 11:57:53,user-000-008-1,82,NULL,payer,0,4,ios,0,1,0,0,0,far_win,2026-01-01,8,False
2025-12-26 09:39:51,user-000-009-0,91,incent,nonpayer,0,2,android,0,1,0,0,0,far_win,2026-01-01,9,True
2025-12-25 04:48:52,user-000-009-1,92,paid,payer,0,5,ios,0,1,0,0,0,far_win,2026-01-01,9,False
2025-12-30 02:30:50,user-000-010-0,101,organic,nonpayer,0,3,android,0,0,0,0,0,unknown,2026-01-01,10,True
2025-12-29 21:39:51,user-000-010-1,102,incent,nonpayer,1,6,android,0,0,0,0,0,unknown,2026-01-01,10,False
2025-12-13 19:21:49,user-000-011-0,111,crosspromo,payer,0,4,uwp,0,1,0,0,0,far_win,2026-01-01,11,True
2025-12-12 14:30:50,user-000-011-1,112,organic,nonpayer,0,7,uwp,0,0,1,0,0,close_win,2026-01-01,11,False
2025-12-17 12:12:48,user-000-012-0,121,NULL,nonpayer,1,5,uwp,0,0,0,1,0,close_fail,2026-01-01,12,True
2025-12-16 07:21:49,user-000-012-1,122,crosspromo,payer,0,8,uwp,0,1,0,0,0,far_win,2026-01-01,12,False
2025-12-21 05:03:47,user-000-013-0,131,paid,nonpayer,0,6,ios,0,1,0,0,0,far_win,2026-01-01,13,True
2025-12-20 00:12:48,user-000-013-1,132,NULL,nonpayer,0,1,ios,1,1,0,0,0,far_win,2026-01-01,13,False
2025-12-25 22:54:46,user-000-014-0,141,incent,payer,0,7,ios,0,1,0,0,0,far_win,2026-01-01,14,True
2025-12-24 17:03:47,user-000-014-1,142,paid,nonpayer,0,2,ios,0,0,1,0,0,close_win,2026-01-01,14,False
2025-12-29 15:45:45,user-000-015-0,151,organic,payer,0,8,android,0,0,1,0,0,close_win,2026-01-01,15,True
2025-12-28 10:54:46,user-000-015-1,152,incent,payer,0,3,android,0,1,0,0,0,far_win,2026-01-01,15,False
2025-12-12 08:36:44,user-000-016-0,161,crosspromo,nonpayer,0,1,uwp,1,0,1,0,0,close_win,2026-01-01,16,True
2026-01-01 03:45:45,user-000-016-1,162,organic,payer,1,4,android,0,0,0,0,1,far_fail,2026-01-01,16,False
2025-12-16 01:27:43,user-000-017-0,171,NULL,payer,0,2,uwp,0,1,0,0,0,far_win,2026-01-01,17,True
2025-12-15 20:36:44,user-000-017-1,172,crosspromo,nonpayer,0,5,uwp,0,1,0,0,0,far_win,2026-01-01,17,False
2025-12-20 18:18:42,user-000-018-0,181,paid,payer,1,3,ios,0,0,0,0,1,far_fail,2026-01-01,18,True
2025-12-19 13:27:43,user-000-018-1,182,NULL,payer,0,6,ios,0,0,1,0,0,close_win,2026-01-01,18,False
2025-12-24 11:09:41,user-000-019-0,191,incent,nonpayer,0,4,ios,0,0,1,0,0,close_win,2026-01-01,19,True
2025-12-23 06:18:42,user-000-019-1,192,paid,payer,0,7,ios,0,1,0,0,0,far_win,2026-01-01,19,False
2025-12-28 04:00:40,user-000-020-0,201,organic,nonpayer,0,5,android,0,1,0,0,0,far_win,2026-01-01,20,True
2025-12-27 23:09:41,user-000-020-1,202,incent,nonpayer,0,8,android,0,1,0,0,0,far_win,2026-01-01,20,False
2026-01-01 21:51:39,user-000-021-0,211,crosspromo,payer,0,6,android,0,1,0,0,0,far_win,2026-01-01,21,True
2025-12-31 16:00:40,user-000-021-1,212,organic,nonpayer,1,1,android,1,0,0,0,1,far_fail,2026-01-01,21,False
2025-12-15 14:42:38,user-000-022-0,221,NULL,nonpayer,0,7,uwp,0,1,0,0,0,far_win,2026-01-01,22,True
2025-12-14 09:51:39,user-000-022-1,222,crosspromo,payer,1,2,uwp,0,0,0,1,0,close_fail,2026-01-01,22,False
2025-12-19 07:33:37,user-000-023-0,231,paid,nonpayer,0,8,ios,0,0,1,0,0,close_win,2026-01-01,23,True
2025-12-18 02:42:38,user-000-023-1,232,NULL,nonpayer,0,3,uwp,0,1,0,0,0,far_win,2026-01-01,23,False
2025-12-23 00:24:36,user-000-024-0,241,incent,payer,1,1,ios,1,0,0,0,1,far_fail,2026-01-01,24,True
2025-12-22 19:33:37,user-000-024-1,242,paid,nonpayer,0,4,ios,0,1,0,0,0,far_win,2026-01-01,24,False
2025-12-27 17:15:35,user-000-025-0,251,organic,payer,0,2,android,0,1,0,0,0,far_win,2026-01-01,25,True
2025-12-26 12:24:36,user-000-025-1,252,incent,payer,0,5,android,0,0,1,0,0,close_win,2026-01-01,25,False
2025-12-31 10:06:34,user-000-026-0,261,crosspromo,nonpayer,0,3,android,0,0,0,0,0,unknown,2026-01-01,26,True
2025-12-30 05:15:35,user-000-026-1,262,organic,payer,0,6,android,0,0,0,0,0,unknown,2026-01-01,26,False
2025-12-14 03:57:33,user-000-027-0,271,NULL,payer,0,4,uwp,0,0,1,0,0,close_win,2026-01-01,27,True
2025-12-13 22:06:34,user-000-027-1,272,crosspromo,nonpayer,1,7,uwp,0,0,0,0,1,far_fail,2026-01-01,27,False
2025-12-18 20:48:32,user-000-028-0,281,paid,payer,0,5,uwp,0,1,0,0,0,far_win,2026-01-01,28,True
2025-12-17 15:57:33,user-000-028-1,282,NULL,payer,0,8,uwp,0,1,0,0,0,far_win,2026-01-01,28,False
2025-12-22 13:39:31,user-000-029-0,291,incent,nonpayer,0,6,ios,0,1,0,0,0,far_win,2026-01-01,29,True
2025-12-21 08:48:32,user-000-029-1,292,paid,payer,0,1,ios,1,0,1,0,0,close_win,2026-01-01,29,False
2025-12-26 06:30:30,user-000-030-0,301,organic,nonpayer,1,7,android,0,0,0,1,0,close_fail,2026-01-01,30,True
2025-12-25 01:39:31,user-000-030-1,302,incent,nonpayer,0,2,ios,0,1,0,0,0,far_win,2026-01-01,30,False
2025-12-30 23:21:29,user-000-031-0,311,crosspromo,payer,0,8,android,0,0,0,0,0,unknown,2026-01-01,31,True
2025-12-29 18:30:30,user-000-031-1,312,organic,nonpayer,0,3,android,0,0,0,0,0,unknown,2026-01-01,31,False
2025-12-13 16:12:28,user-000-032-0,321,NULL,nonpayer,0,1,uwp,1,1,0,0,0,far_win,2026-01-01,32,True
2025-12-12 11:21:29,user-000-032-1,322,crosspromo,payer,0,4,uwp,0,1,0,0,0,far_win,2026-01-01,32,False
2025-12-17 09:03:27,user-000-033-0,331,paid,nonpayer,0,2,uwp,0,1,0,0,0,far_win,2026-01-01,33,True
2025-12-16 04:12:28,user-000-033-1,332,NULL,nonpayer,1,5,uwp,0,0,0,1,0,close_fail,2026-01-01,33,False
2025-12-21 02:54:26,user-000-034-0,341,incent,payer,0,3,ios,0,0,1,0,0,close_win,2026-01-01,34,True
2025-12-20 21:03:27,user-000-034-1,342,paid,nonpayer,0,6,ios,0,1,0,0,0,far_win,2026-01-01,34,False
2025-12-25 19:45:25,user-000-035-0,351,organic,payer,0,4,ios,0,1,0,0,0,far_win,2026-01-01,35,True
2025-12-24 14:54:26,user-000-035-1,352,incent,payer,0,7,ios,0,1,0,0,0,far_win,2026-01-01,35,False
2025-12-29 12:36:24,user-000-036-0,361,crosspromo,nonpayer,1,5,android,0,0,0,0,1,far_fail,2026-01-01,36,True
2025-12-28 07:45:25,user-000-036-1,362,organic,payer,0,8,android,0,0,1,0,0,close_win,2026-01-01,36,False
2025-12-12 05:27:23,user-000-037-0,371,NULL,payer,0,6,uwp,0,1,0,0,0,far_win,2026-01-01,37,True
2026-01-01 00:36:24,user-000-037-1,372,crosspromo,nonpayer,0,1,android,1,0,1,0,0,close_win,2026-01-01,37,False
2025-12-16 22:18:22,user-000-038-0,381,paid,payer,0,7,uwp,0,0,1,0,0,close_win,2026-01-01,38,True
2025-12-15 17:27:23,user-000-038-1,382,NULL,payer,0,2,uwp,0,1,0,0,0,far_win,2026-01-01,38,False
2025-12-20 15:09:21,user-000-039-0,391,incent,nonpayer,0,8,ios,0,1,0,0,0,far_win,2026-01-01,39,True
2025-12-19 10:18:22,user-000-039-1,392,paid,payer,1,3,ios,0,0,0,0,1,far_fail,2026-01-01,39,False
2025-12-24 08:00:20,user-000-040-0,401,organic,nonpayer,0,1,ios,1,1,0,0,0,far_win,2026-01-01,40,True
